##NAMES=Abramovite
##RRUFFID=R070037
##IDEAL CHEMISTRY=Pb^2+^_2_Sn^4+^In^3+^Bi^3+^S^2-^_7_
##LOCALITY=Kudryaviy Volcano, Iturup Island, Kurilian Archipelago, Russia
##OWNER=Michael Scott
##SOURCE=Michael Scott
##DESCRIPTION=Dark gray metallic twisted and distorted fibers in a radiating aggregate, co-type sample.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R070037
150.1822, 0.0000000E+00
150.6643, 34.88086
151.1464, 97.48145
151.6286, 169.4043
152.1107, 214.5732
152.5928, 195.1348
153.0749, 168.8047
153.5570, 165.6895
154.0391, 185.9941
154.5213, 177.2041
155.0034, 148.6982
155.4855, 106.6562
155.9676, 66.84766
156.4497, 21.60156
156.9318, 0.7470700
157.4140, 2.698242
157.8961, 47.85645
158.3782, 80.33301
158.8603, 89.18555
159.3424, 83.12598
159.8245, 76.41797
160.3067, 63.75098
160.7888, 59.15137
161.2709, 63.76367
161.7530, 82.44238
162.2351, 97.41699
162.7172, 133.7021
163.1993, 170.5049
163.6815, 169.3682
164.1636, 140.0010
164.6457, 118.2510
165.1278, 110.7197
165.6099, 124.4385
166.0920, 149.7246
166.5742, 180.7783
167.0563, 220.7588
167.5384, 246.0303
168.0205, 236.2842
168.5026, 199.7578
168.9847, 168.8320
169.4669, 174.9707
169.9490, 189.4443
170.4311, 183.0684
170.9132, 132.2686
171.3953, 77.26953
171.8774, 55.32715
172.3596, 62.96680
172.8417, 74.11328
173.3238, 79.07227
173.8059, 73.43262
174.2880, 52.05664
174.7701, 9.731445
175.2523, 76.51855
175.7344, 104.8184
176.2165, 93.27832
176.6986, 61.95020
177.1807, 14.07129
177.6628, 40.84668
178.1449, 80.18457
178.6271, 82.01562
179.1092, 64.57031
179.5913, 60.60059
180.0734, 74.82617
180.5555, 92.29785
181.0376, 93.04688
181.5198, 80.64941
182.0019, 66.28027
182.4840, 49.42969
182.9661, 35.96582
183.4482, 39.83008
183.9303, 66.50195
184.4125, 101.5742
184.8946, 121.6631
185.3767, 127.8467
185.8588, 131.2715
186.3409, 144.2383
186.8230, 162.6426
187.3052, 163.3457
187.7873, 132.7617
188.2694, 89.88086
188.7515, 82.09277
189.2336, 111.0596
189.7157, 152.5518
190.1979, 193.3828
190.6800, 232.4912
191.1621, 253.7959
191.6442, 245.3701
192.1263, 216.8623
192.6084, 208.2627
193.0906, 222.0771
